"scenario","variable","base","lower","upper","evidence_class","parameter_basis"
"C0_clean_selective","recovery_yield","0.88","0.8","0.88","Scenario prior with documented basis; not an observed EU27 distribution","Weimann et al. 2021 selected German industrial recycled-gypsum output range 0.80-0.88; clean-feed anchor, not EU27 distribution"
"C0_clean_selective","retained_paper_fraction","0.005","0","0.01","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported in the open UK or European pilot summaries; C1 total p+c+w=0.04 is anchored to the published UK post-sieving 4-6 wt% total-contamination interval"
"C0_clean_selective","retained_coating_wood_fraction","0.001","0","0.002","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported; bounds are stress-test values informed by the UK total-contamination trajectory and European quality evidence"
"C0_clean_selective","retained_mineral_fraction","0.001","0","0.002","Researcher-defined component split; not an observed EU27 distribution","Mineral carryover is not separately reported in the open batch summaries; bounds are transparent stress-test values"
"C0_clean_selective","free_moisture","0.02","0","0.04","Scenario prior with documented basis; not an observed EU27 distribution","Low bound is informed by Weimann et al. 2021 0.03-0.05 selected-facility range; the interval is still a screening bound"
"C1_moderate_selective","recovery_yield","0.85","0.8","0.88","Scenario prior with documented basis; not an observed EU27 distribution","Weimann et al. 2021 selected German industrial range used as a bounded process comparator; C1 is not calibrated"
"C1_moderate_selective","retained_paper_fraction","0.02","0","0.04","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported in the open UK or European pilot summaries; C1 total p+c+w=0.04 is anchored to the published UK post-sieving 4-6 wt% total-contamination interval"
"C1_moderate_selective","retained_coating_wood_fraction","0.01","0","0.02","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported; bounds are stress-test values informed by the UK total-contamination trajectory and European quality evidence"
"C1_moderate_selective","retained_mineral_fraction","0.01","0","0.02","Researcher-defined component split; not an observed EU27 distribution","Mineral carryover is not separately reported in the open batch summaries; bounds are transparent stress-test values"
"C1_moderate_selective","free_moisture","0.1","0","0.2","Scenario prior with documented basis; not an observed EU27 distribution","Interval spans the published European GtoG moisture range 0.27-17.14%; not a probability distribution"
"C2_high_contamination","recovery_yield","0.65","0.55","0.75","Scenario prior with documented basis; not an observed EU27 distribution","Researcher-defined stress extension below the selected industrial comparator to expose a contaminated-feed failure branch; no prevalence claim"
"C2_high_contamination","retained_paper_fraction","0.05","0","0.1","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported in the open UK or European pilot summaries; C1 total p+c+w=0.04 is anchored to the published UK post-sieving 4-6 wt% total-contamination interval"
"C2_high_contamination","retained_coating_wood_fraction","0.05","0","0.1","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported; bounds are stress-test values informed by the UK total-contamination trajectory and European quality evidence"
"C2_high_contamination","retained_mineral_fraction","0.05","0","0.1","Researcher-defined component split; not an observed EU27 distribution","Mineral carryover is not separately reported in the open batch summaries; bounds are transparent stress-test values"
"C2_high_contamination","free_moisture","0.2","0","0.4","Scenario prior with documented basis; not an observed EU27 distribution","Researcher-defined wet-feed stress extension; no EU27 batch prevalence claim"
"C3_hazardous_exclusion","recovery_yield","0","0","0","Scenario prior with documented basis; not an observed EU27 distribution","Routing exclusion; no recovery prior is sampled"
"C3_hazardous_exclusion","retained_paper_fraction","0","0","0","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported in the open UK or European pilot summaries; C1 total p+c+w=0.04 is anchored to the published UK post-sieving 4-6 wt% total-contamination interval"
"C3_hazardous_exclusion","retained_coating_wood_fraction","0","0","0","Researcher-defined component split; not an observed EU27 distribution","Component fractions are not separately reported; bounds are stress-test values informed by the UK total-contamination trajectory and European quality evidence"
"C3_hazardous_exclusion","retained_mineral_fraction","0","0","0","Researcher-defined component split; not an observed EU27 distribution","Mineral carryover is not separately reported in the open batch summaries; bounds are transparent stress-test values"
"C3_hazardous_exclusion","free_moisture","0","0","0","Scenario prior with documented basis; not an observed EU27 distribution","Researcher-defined wet-feed stress extension; no EU27 batch prevalence claim"
